Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
275,Kyle Anderson,31,GSW,SF,4,0,57,4,18,0.222,1,11,0.091,3,7,0.429,0.25,1,2,0.5,6,8,14,10,9,1,2,2,10,,anderky01
276,Keon Ellis,25,SAC,SG,3,0,43,3,8,0.375,1,4,0.25,2,4,0.5,0.438,3,4,0.75,2,6,8,3,5,4,3,7,10,,elliske01
277,Sam Hauser,27,BOS,PF,1,0,24,4,10,0.4,2,7,0.286,2,3,0.667,0.5,0,0,,1,4,5,1,0,0,0,2,10,,hausesa01
278,Terance Mann,28,LAC,SG,3,3,66,5,15,0.333,0,4,0,5,11,0.455,0.333,0,3,0,2,7,9,5,2,0,2,11,10,,mannte01
279,Isaac Okoro,24,CLE,SG,4,0,65,3,10,0.3,0,2,0,3,8,0.375,0.3,4,7,0.571,4,5,9,7,3,3,2,6,10,,okorois01
280,Rayan Rupert,20,POR,SG,3,0,32,4,6,0.667,0,1,0,4,5,0.8,0.667,2,2,1,2,4,6,2,4,0,2,3,10,,ruperra01
281,Reed Sheppard,20,HOU,SG,4,0,38,4,12,0.333,2,6,0.333,2,6,0.333,0.417,0,0,,1,2,3,7,1,1,4,4,10,,sheppre01
282,Isaiah Stewart,23,DET,C,4,0,67,4,8,0.5,0,1,0,4,7,0.571,0.5,2,2,1,11,16,27,8,3,2,9,14,10,,stewais01
283,Patrick Baldwin Jr.,22,WAS,SF,2,0,13,4,8,0.5,1,3,0.333,3,5,0.6,0.563,0,0,,1,3,4,1,0,1,0,2,9,,baldwpa01
284,Alec Burks,33,MIA,SG,2,0,34,3,5,0.6,3,4,0.75,0,1,0,0.9,0,0,,0,3,3,2,0,1,0,0,9,,burksal01
285,Moussa Diabaté,23,CHO,PF,3,0,33,4,8,0.5,0,0,,4,8,0.5,0.5,1,4,0.25,5,6,11,0,1,2,1,3,9,,diabamo01
286,Kyshawn George,21,WAS,SG,3,0,68,3,16,0.188,1,11,0.091,2,5,0.4,0.219,2,4,0.5,2,7,9,7,1,5,3,13,9,,georgky01
287,Cole Anthony,24,ORL,PG,4,0,56,3,16,0.188,1,10,0.1,2,6,0.333,0.219,1,2,0.5,2,7,9,11,4,1,8,7,8,,anthoco01
288,Nicolas Batum,36,LAC,SF,3,0,61,2,6,0.333,1,5,0.2,1,1,1,0.417,3,4,0.75,3,7,10,7,1,1,2,9,8,,batumni01
