Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
133,David Duke Jr.,SG,23,BRK,20,0,9,1.5,3.2,0.46,0.1,0.4,0.125,1.4,2.8,0.509,0.468,0.4,0.6,0.636,0.4,0.7,1.1,0.8,0.4,0.1,0.8,1.4,3.3
134,Kris Dunn,PG,28,UTA,16,0,23.6,4.6,9.2,0.497,0.8,1.8,0.414,3.8,7.4,0.517,0.537,1.6,2.2,0.743,0.5,3.6,4.1,5.2,1.1,0.4,1.4,2.6,11.5
135,Kevin Durant,PF-SF,34,TOT,43,43,35.6,10.3,18.5,0.559,1.9,4.8,0.388,8.5,13.7,0.619,0.61,6.7,7.2,0.929,0.4,6.4,6.8,5.2,0.8,1.4,3.3,2.3,29.2
135,Kevin Durant,PF,34,BRK,39,39,36,10.5,18.8,0.559,1.8,4.8,0.376,8.7,14,0.622,0.607,6.8,7.3,0.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7
135,Kevin Durant,SF,34,PHO,4,4,31.8,8.5,15,0.567,2.3,4.3,0.529,6.3,10.8,0.581,0.642,4.8,5.5,0.864,0.5,7,7.5,3.8,0.3,1,2,1.3,24
136,Jalen Duren,C,19,DET,61,27,24.5,3.7,5.8,0.642,0,0,0,3.7,5.8,0.646,0.642,1.4,2.3,0.614,3.4,5.3,8.7,1.2,0.6,0.9,1.2,2.7,8.9
137,Tari Eason,PF,21,HOU,77,5,21.2,3.6,7.9,0.457,0.7,2.1,0.346,2.9,5.8,0.497,0.502,1.3,1.8,0.746,2.3,3.6,5.9,1,1.1,0.5,1.2,2.3,9.2
138,Anthony Edwards,SG,21,MIN,74,74,36.1,8.9,19.3,0.461,2.7,7.3,0.369,6.2,12,0.517,0.531,4,5.3,0.76,0.6,5.2,5.8,4.5,1.6,0.7,3.3,2.4,24.5
139,Kessler Edwards,SF,22,TOT,30,4,9.7,0.9,2.3,0.4,0.4,1.4,0.317,0.5,1,0.517,0.493,0.3,0.4,0.75,0.6,0.9,1.5,0.5,0.2,0.2,0.4,0.9,2.6
139,Kessler Edwards,SF,22,BRK,14,1,5.6,0.4,1.7,0.25,0.1,0.9,0.167,0.3,0.9,0.333,0.292,0.1,0.1,0.5,0.4,0.6,1,0.1,0.2,0.1,0.3,0.2,1.1
139,Kessler Edwards,SF,22,SAC,16,3,13.3,1.4,2.9,0.478,0.7,1.8,0.379,0.7,1.1,0.647,0.598,0.5,0.6,0.8,0.7,1.3,1.9,0.9,0.3,0.3,0.4,1.6,3.9
140,Keon Ellis,SG,23,SAC,13,0,3.8,0.5,1,0.538,0.5,0.8,0.6,0.1,0.2,0.333,0.769,0.2,0.2,0.667,0.3,0.3,0.6,0.3,0.2,0.1,0.1,0.7,1.7
141,Joel Embiid,C,28,PHI,62,62,34.7,11,20.2,0.544,1,3,0.34,10,17.2,0.58,0.569,10.2,11.9,0.856,1.8,8.4,10.2,4.2,1.1,1.7,3.5,3.1,33.2
142,Drew Eubanks,C,25,POR,74,24,19.8,2.6,3.9,0.654,0,0.1,0.3,2.5,3.8,0.667,0.659,1,1.5,0.673,1.6,3.6,5.2,1.3,0.5,1.2,0.8,2.1,6.2
143,Bruno Fernando,C,24,TOT,35,4,10.7,1.4,2.8,0.515,0,0,0,1.4,2.7,0.521,0.515,0.9,1.3,0.682,1.4,2.1,3.5,0.9,0.2,0.9,0.6,2,3.7
143,Bruno Fernando,C,24,HOU,31,4,11.7,1.5,3,0.516,0,0,0,1.5,3,0.522,0.516,1,1.4,0.682,1.5,2.4,3.9,1,0.2,1,0.6,2.2,4.1
143,Bruno Fernando,C,24,ATL,4,0,2.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0.3,0.3,0.5,0.3,0,0,0.5,0.3,1
144,Dorian Finney-Smith,PF,29,TOT,62,62,30.6,2.9,7.6,0.381,1.7,5.2,0.324,1.2,2.4,0.503,0.491,0.7,0.9,0.768,1.8,3,4.8,1.5,0.9,0.5,1,2.2,8.1
144,Dorian Finney-Smith,PF,29,DAL,40,40,32.2,3.2,7.8,0.416,1.9,5.4,0.355,1.3,2.3,0.559,0.54,0.8,1,0.75,1.7,3,4.7,1.5,1,0.5,0.9,2,9.1
144,Dorian Finney-Smith,PF,29,BRK,22,22,27.8,2.3,7.3,0.313,1.2,4.7,0.26,1,2.5,0.411,0.397,0.6,0.7,0.813,1.9,3,4.9,1.6,0.7,0.5,1.1,2.5,6.4
145,Malachi Flynn,PG,24,TOR,49,1,13.1,1.6,4.5,0.351,0.9,2.6,0.352,0.7,1.9,0.351,0.453,0.4,0.6,0.724,0.3,1.1,1.4,1.3,0.4,0.1,0.5,1.2,4.5
146,Simone Fontecchio,SF,27,UTA,46,5,13.5,1.9,5.3,0.363,1.1,3.3,0.336,0.8,2,0.409,0.467,0.7,0.9,0.825,0.5,0.8,1.4,0.8,0.2,0.2,0.7,1.1,5.7
147,Bryn Forbes,SG,29,MIN,25,0,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,1.5,0.432,0.446,0.6,0.6,1,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6
148,Trent Forrest,PG,24,ATL,19,3,12.7,1.3,2.6,0.48,0,0.1,0,1.3,2.5,0.5,0.48,0.1,0.2,0.667,0.3,1.3,1.5,1.6,0.3,0.1,0.6,0.8,2.6
149,Michael Foster Jr.,PF,20,PHI,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
150,Evan Fournier,SG,30,NYK,23,7,18,2.3,6.6,0.351,1.4,4.4,0.324,0.9,2.1,0.408,0.46,0.8,0.9,0.857,0.2,1.8,2,1.5,0.6,0.1,0.8,1.9,6.8
151,De'Aaron Fox,PG,25,SAC,68,68,33.7,9.4,18.2,0.515,1.7,5,0.334,7.7,13.2,0.584,0.561,4.8,6.2,0.773,0.5,3.6,4.1,6.1,1.2,0.3,2.5,2.4,25.2
152,Markelle Fultz,PG,24,ORL,55,55,30.1,5.7,11.4,0.505,0.4,1.4,0.278,5.3,9.9,0.537,0.522,2,2.5,0.797,1.2,2.8,4,5.7,1.5,0.4,2.4,2.2,13.9
153,Wenyen Gabriel,PF,25,LAL,62,2,15.2,2.4,4,0.596,0.2,0.5,0.303,2.2,3.4,0.642,0.616,0.8,1.4,0.619,1.8,2.5,4.3,0.5,0.4,0.5,0.7,2.2,5.7
154,Daniel Gafford,C,24,WAS,73,42,20.2,3.5,4.8,0.731,0,0,,3.5,4.8,0.731,0.731,1.5,2.3,0.657,2,3.3,5.3,1,0.4,1.3,1,2.3,8.5
155,Darius Garland,PG,23,CLE,66,66,35.3,7.6,16.3,0.466,2.5,6.1,0.409,5.1,10.2,0.499,0.542,4.1,4.8,0.86,0.4,2.3,2.7,7.8,1.3,0.1,2.9,2.2,21.7
156,Usman Garuba,PF,20,HOU,70,1,13.3,1.2,2.4,0.503,0.3,0.8,0.453,0.9,1.6,0.526,0.575,0.4,0.7,0.609,1.6,2.6,4.2,0.9,0.6,0.4,0.6,1.8,3.1
157,Luka Garza,C,24,MIN,26,0,9,2.3,4.3,0.55,0.5,1.5,0.368,1.8,2.8,0.644,0.613,1.6,2,0.788,1.2,1.1,2.3,0.7,0.1,0.1,0.5,1.6,6.8
158,Rudy Gay,PF,36,UTA,56,0,14.6,1.9,5.1,0.38,0.6,2.3,0.254,1.4,2.8,0.484,0.437,0.8,0.9,0.857,0.6,2.3,2.9,1,0.3,0.3,0.7,1.2,5.2
159,Paul George,SG,32,LAC,56,56,34.6,8.2,17.9,0.457,2.8,7.6,0.371,5.4,10.3,0.521,0.536,4.6,5.3,0.871,0.8,5.3,6.1,5.1,1.5,0.4,3.1,2.8,23.8
160,Taj Gibson,C,37,WAS,47,2,9.7,1.3,2.4,0.535,0.1,0.4,0.211,1.2,2,0.6,0.553,0.6,0.9,0.7,0.7,1.2,1.9,0.7,0.3,0.3,0.5,1.7,3.3
161,Josh Giddey,SG,20,OKC,72,72,31,7.1,14.6,0.486,1,3,0.329,6.1,11.7,0.526,0.519,1.3,1.8,0.746,2,5.9,7.9,6.2,0.8,0.4,2.8,1.9,16.5
